mipvu_id,case_id,document_id,sentence_id,lexical_unit,lemma,decision_type,review_status,contextual_meaning,basic_meaning,confidence,semantic_shift_risk,review_notes,source_path
lincoln-lyceum-address_s01_p04_s02_lu004,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,in,in,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu005,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu006,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,peaceful,peaceful,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu007,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,possession,possession,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu008,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu009,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu010,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,fairest,fairest,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu011,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,portion,portion,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu012,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,of,of,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu013,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,the,the,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
lincoln-lyceum-address_s01_p04_s02_lu014,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s02,earth,earth,,pending,,,,,,cases/lincoln/corpus/mipvu/lincoln-lyceum-address_mipvu.json
